customer_state,avg_delivery_days,avg_delay,order_count,bad_review_rate
AC,20.31,20.08,89,0.25
AL,23.85,7.9,424,0.29
AM,25.81,18.91,161,0.21
AP,27.71,17.41,80,0.16
BA,18.73,10.05,3612,0.29
CE,20.37,10.28,1408,0.29
DF,12.52,11.16,2332,0.24
ES,15.04,9.86,2187,0.24
GO,14.81,11.47,2209,0.24
MA,21.03,9.06,790,0.32
MG,11.5,12.38,12726,0.22
MS,15.12,10.2,812,0.23
MT,17.39,13.7,1018,0.26
PA,23.06,13.48,1023,0.3
PB,20.03,12.15,572,0.26
PE,17.7,12.58,1717,0.24
PI,18.93,10.52,512,0.26
PR,11.46,12.51,5571,0.21
RJ,14.64,11.05,13845,0.29
RN,18.91,12.94,514,0.22
RO,19.42,18.94,266,0.26
RR,27.86,17.5,44,0.32
RS,14.69,13.18,6066,0.22
SC,14.4,10.71,4018,0.24
SE,20.87,9.02,371,0.28
SP,8.25,10.24,45796,0.21
TO,17.03,11.24,305,0.21
